source,target,value
Main_Page,Documentation_Guidelines,1
Main_Page,FreeSWITCH_Wiki:Site_support,1
Main_Page,Download_FreeSWITCH,1
Main_Page,Index,1
Main_Page,Perl,1
Main_Page,Dialplan_XML,1
Main_Page,Changelog_Summary,1
Main_Page,Mod_pocketsphinx,1
Main_Page,Javascript,1
Main_Page,Libfreeswitch,1
Main_Page,FreeSwitch_In_The_News,1
Main_Page,Mod_managed,1
Main_Page,Help:Contents,1
Main_Page,Examples_Ham_Radio,1
Main_Page,Ubuntu_Quick_Start,1
Main_Page,Weekly_Conference_Call,1
Main_Page,Embedding_FreeSWITCH,1
Main_Page,Download_%26_Installation_Guide,1
Main_Page,Bounty,1
Main_Page,Mod_event_socket,1
Main_Page,Core_Outline_of_FreeSWITCH,1
Main_Page,Performance_testing_and_configurations,1
Main_Page,Getting_Started_Guide,1
Main_Page,Documentation,1
Main_Page,Life_Cycle_of_a_Call,1
Main_Page,Whats_New,1
Main_Page,Documentation_Feedback,1
Main_Page,Documentation,1
Main_Page,FreeSwitch_FAQ,1
Main_Page,Reporting_Bugs,1
Main_Page,SIP_Provider_Examples,1
Mod_commands,Mod_console,1
Mod_commands,Mod_lua,1
Mod_commands,Channel_Variables,1
Mod_commands,Mod_xml_rpc,1
Mod_commands,Sofia,1
Mod_commands,Limit,1
Mod_commands,Mod_event_socket,1
Mod_commands,Channels_vs_Calls,1
Mod_commands,Regular_Expression,1
Mod_commands,Mod_erlang_event,1
Mod_commands,Limit,1
Mod_commands,Mod_dptools,1
Mod_commands,Mod_spidermonkey,1
Mod_commands,Mod_commands,1
Mod_commands,Dialplan,1
Mod_commands,Freeswitch_IVR_Originate,1
Mod_commands,Channel_Variables,1
Mod_commands,Fs_cli,1
Mod_commands,XML_User_Directory_Guide,1
Mod_commands,Misc._Dialplan_Tools_answer,1
Mod_commands,Misc._Dialplan_Tools_InlineDialplan,1
Mod_commands,Mod_python,1
Mod_commands,Mod_xmpp_event,1
Mod_commands,Mod_perl,1
Mod_commands,Switch.conf.xml,1
Mod_commands,CLI,1
Mod_commands,Misc._Dialplan_Tools_pre_answer,1
Mod_commands,Channel_Variables,1
Index,Mod_console,1
Index,Mod_radius_cdr,1
Index,Mod_fifo,1
